X	Y	Z
6.97300005	-1.69449997	2.91949987
6.89025021	-1.61199999	2.89374995
6.95275021	-1.61625004	2.90274978
6.93725014	-1.65524995	2.9375
6.97125006	-1.60049999	2.94899988
6.84149981	-1.54124999	2.9059999
6.80999994	-1.50874996	2.9437499
6.86299992	-1.54200006	2.85399985
6.93074989	-1.54624999	2.85249996
6.97574997	-1.57624996	2.87899995
6.8687501	-1.57099998	2.94899988
6.92875004	-1.57624996	2.921
6.86324978	-1.49450004	2.90074992
6.88549995	-1.51750004	2.94249988
6.95300007	-1.47300005	2.91774988
6.97224998	-1.68900001	3
6.89424992	-1.602	2.99474978
6.94775009	-1.62175	2.99000001
6.97574997	-1.65075004	3.04149985
6.94124985	-1.61224997	3.05349994
6.81349993	-1.58949995	2.9772501
6.84600019	-1.54824996	3.01024985
6.84649992	-1.48150003	2.96624994
6.90649986	-1.54575002	2.98674989
6.89699984	-1.47325003	2.96449995
6.9369998	-1.50549996	2.97399998
6.9749999	-1.47549999	2.99449992
6.86450005	-1.58850002	3.03600001
6.90199995	-1.55400002	3.04250002
6.97074986	-1.57850003	3.02599978
6.90150023	-1.49925005	3.03674984
6.9454999	-1.53299999	3.02174997
6.95149994	-1.48249996	3.04425001
7.02600002	-1.66849995	2.87749982
7.0005002	-1.62150002	2.85675001
7.05775023	-1.62374997	2.8829999
7.02225018	-1.72224998	2.90024996
7.08599997	-1.68499994	2.9452498
6.9994998	-1.64374995	2.91649985
7.02775002	-1.60450006	2.93324995
7.07849979	-1.61074996	2.93600011
7.14424992	-1.68324995	2.92574978
7.12874985	-1.62	2.94899988
7.03875017	-1.54225004	2.86675
7.0852499	-1.55525005	2.852
7.01049995	-1.5575	2.91574979
7.08774996	-1.55824995	2.91699982
6.98950005	-1.50950003	2.90074992
7.03275013	-1.50524998	2.9287498
7.08125019	-1.4835	2.91574979
7.13075018	-1.54250002	2.86999989
7.23150015	-1.59599996	2.84850001
7.18300009	-1.54225004	2.88599992
7.11824989	-1.48500001	2.87899995
7.21950006	-1.523	2.8522501
7.21124983	-1.47375	2.84674978
7.1557498	-1.55425	2.93299985
7.16099977	-1.50475001	2.9124999
7.11950016	-1.51824999	2.94424987
7.22650003	-1.51400006	2.90274978
7.20074987	-1.50574994	2.94999981
7.046	-1.71749997	3.01324987
6.99849987	-1.62574995	3.00399995
7.08400011	-1.63674998	2.97924995
7.00699997	-1.69424999	3.04499984
7.09975004	-1.70899999	3.01899981
7.05049992	-1.70474994	3.0704999
7.02174997	-1.60150003	3.04699993
7.08500004	-1.62899995	3.07849979
7.11824989	-1.71375	2.97074986
7.16174984	-1.68149996	2.98224998
7.12174988	-1.6595	3.00574994
7.11899996	-1.60424995	3.00825
7.16450024	-1.61574996	2.98449993
7.19824982	-1.67700005	3.03374982
7.14599991	-1.63625002	3.0684998
7.03025007	-1.56949997	2.97799993
7.10375023	-1.57299995	2.97099996
7.05299997	-1.53849995	3.01349998
7.00699997	-1.52075005	2.97424984
7.0317502	-1.47224998	3.0062499
7.06575012	-1.52524996	2.96499991
7.08400011	-1.48199999	2.98249984
7.00549984	-1.54275	3.04675007
7.08825016	-1.58449996	3.04474998
7.05950022	-1.54174995	3.07249999
7.00225019	-1.48099995	3.05149984
7.08774996	-1.50524998	3.03524995
7.05100012	-1.47500002	3.07800007
7.10349989	-1.47274995	3.07550001
7.1477499	-1.55850005	2.99874997
7.19425011	-1.57350004	2.97174978
7.14925003	-1.47774994	2.977
7.13024998	-1.57200003	3.07599998
7.17549992	-1.5905	3.046
7.17474985	-1.53849995	3.06549978
7.13775015	-1.49475002	3.04399991
6.82800007	-1.45624995	2.92374992
6.8442502	-1.37024999	2.94400001
6.88574982	-1.41349995	2.9142499
6.95125008	-1.4145	2.94049978
6.90450001	-1.37625003	2.9434998
6.89975023	-1.32650006	2.95099998
6.84175014	-1.42275	2.97074986
6.84075022	-1.42200005	3.05824995
6.93725014	-1.42674994	3.00699997
6.87725019	-1.38275003	2.99024987
6.93550014	-1.37600005	2.98449993
6.89225006	-1.46200001	3.06949997
6.97574997	-1.41875005	3.04250002
6.92775011	-1.40824997	3.06174994
6.87325001	-1.37724996	3.04199982
6.95475006	-1.36950004	3.03224993
6.97550011	-1.32474995	3.04699993
6.97300005	-1.27925003	3.07649994
6.97800016	-1.45550001	2.87224984
6.99924994	-1.45050001	2.94999981
7.05674982	-1.43624997	2.91624999
7.10325003	-1.44400001	2.94499993
